rank,unit,score,src_account,dst_account,top_features
1,5077342,0.99975544,76242,316957,payment_format +3.57; gfp_fan_in_bin8 +1.84; gfp_degree_in_bin8 +0.89
2,5077523,0.99973375,393146,282600,payment_format +3.74; gfp_degree_out_bin2 +2.38; amount_paid +0.92
3,5077316,0.9997278,308844,394190,payment_format +3.58; gfp_fan_in_bin8 +1.77; gfp_degree_in_bin8 +1.23
4,5077477,0.99958414,496978,193093,payment_format +3.80; gfp_degree_out_bin2 +2.09; hour_of_day +1.01
5,5077503,0.99957746,496982,305973,payment_format +3.48; gfp_fan_in_bin8 +1.92; gfp_degree_in_bin8 +0.90
6,5077318,0.9994236,149552,376615,payment_format +3.42; gfp_fan_in_bin8 +1.83; amount_paid +1.04
7,5077369,0.9994066,490108,99067,payment_format +3.76; gfp_degree_out_bin2 +2.09; amount_paid +0.97
8,5077250,0.9993818,295357,394190,payment_format +3.60; gfp_fan_in_bin8 +1.92; gfp_degree_in_bin8 +0.89
9,5077340,0.9992576,43243,110253,payment_format +4.00; gfp_vs_dst_in_ratio +0.77; currency_paid +0.64
10,5077423,0.9992105,147990,322032,payment_format +4.04; gfp_vs_dst_in_ratio +0.77; currency_paid +0.59
11,5077262,0.9991997,193613,126622,payment_format +4.00; gfp_degree_out_bin2 +2.23; gfp_vs_src_in_fan +0.61
12,5077456,0.99919134,100971,26991,payment_format +3.72; gfp_degree_out_bin2 +2.49; amount_paid +0.62
13,5077533,0.99914885,22465,159695,payment_format +3.34; gfp_fan_in_bin8 +1.92; gfp_degree_in_bin8 +0.83
14,5077505,0.9991454,9509,91398,payment_format +3.67; gfp_fan_in_bin8 +1.83; gfp_degree_in_bin8 +1.31
15,5077349,0.99914324,257175,159695,payment_format +3.30; gfp_fan_in_bin8 +1.88; gfp_degree_in_bin8 +0.91
16,5077459,0.9991273,147990,159929,payment_format +3.80; gfp_vs_dst_in_ratio +0.94; amount_paid +0.68
17,5077539,0.999108,147990,47536,payment_format +3.85; gfp_vs_dst_in_ratio +0.85; amount_paid +0.43
18,5077491,0.9991073,410808,395725,payment_format +4.07; gfp_vs_dst_in_ratio +0.79; currency_paid +0.66
19,5077417,0.9991061,410808,389742,payment_format +4.38; amount_paid +0.74; gfp_fan_in_bin2 +0.64
20,5077466,0.9990872,3362,393146,payment_format +3.88; gfp_vs_src_out_fan +0.69; gfp_vs_dst_in_ratio +0.56
21,5077488,0.999084,389725,9535,payment_format +3.96; gfp_vs_dst_in_ratio +0.69; amount_paid +0.61
22,5077446,0.99907815,390710,8336,payment_format +3.38; gfp_fan_in_bin4 +1.22; amount_paid +1.13
