dataset,regime,model,features,metric,seed_mean,ci_low,ci_high,ci_kind,n_seeds,feature_version,split_hash,commit
amlworld,temporal,sage,base,test_f1,0.0524130257779497,0.04492682697935877,0.05989922457654063,seed_t,3,none,4291111f6dd26015,87f1f5a
amlworld,temporal,sage,base,test_pr_auc,0.024403045750110746,0.020035864330034115,0.028770227170187377,seed_t,3,none,4291111f6dd26015,87f1f5a
amlworld,temporal,sage,base,test_roc_auc,0.9136724870132271,0.8834290519458056,0.9439159220806487,seed_t,3,none,4291111f6dd26015,87f1f5a
amlworld,temporal,sage,base,test_p_at_r50,0.018430133413087937,0.007039744790215125,0.02982052203596075,seed_t,3,none,4291111f6dd26015,87f1f5a
amlworld,temporal,sage,base,test_p_at_r80,0.009862939873257134,0.00625515911554491,0.013470720630969359,seed_t,3,none,4291111f6dd26015,87f1f5a
amlworld,temporal,sage,base_gfp,test_f1,0.14227598679458106,0.11086403093825845,0.17368794265090368,seed_t,3,1ab79445f22e0ead,4291111f6dd26015,87f1f5a
amlworld,temporal,sage,base_gfp,test_pr_auc,0.08164574188962291,0.0642742860067676,0.09901719777247822,seed_t,3,1ab79445f22e0ead,4291111f6dd26015,87f1f5a
amlworld,temporal,sage,base_gfp,test_roc_auc,0.9519911252232283,0.9326446452007798,0.9713376052456767,seed_t,3,1ab79445f22e0ead,4291111f6dd26015,87f1f5a
amlworld,temporal,sage,base_gfp,test_p_at_r50,0.042516865117194214,0.02385489766518245,0.061178832569205976,seed_t,3,1ab79445f22e0ead,4291111f6dd26015,87f1f5a
amlworld,temporal,sage,base_gfp,test_p_at_r80,0.018673043886214425,0.008139946937419838,0.029206140835009012,seed_t,3,1ab79445f22e0ead,4291111f6dd26015,87f1f5a
amlworld,temporal,xgb,base,test_f1,0.20886906323799528,0.20886906323799528,0.20886906323799528,seed_t,3,none,4291111f6dd26015,87f1f5a
amlworld,temporal,xgb,base,test_pr_auc,0.10875374747550065,0.10875374747550065,0.10875374747550065,seed_t,3,none,4291111f6dd26015,87f1f5a
amlworld,temporal,xgb,base,test_roc_auc,0.9380247478371051,0.9380247478371051,0.9380247478371051,seed_t,3,none,4291111f6dd26015,87f1f5a
amlworld,temporal,xgb,base,test_p_at_r50,0.08980636545737815,0.08980636545737815,0.08980636545737815,seed_t,3,none,4291111f6dd26015,87f1f5a
amlworld,temporal,xgb,base,test_p_at_r80,0.03362637935982052,0.03362637935982052,0.03362637935982052,seed_t,3,none,4291111f6dd26015,87f1f5a
amlworld,temporal,xgb,base_gfp,test_f1,0.5394508168230796,0.5394508168230796,0.5394508168230796,seed_t,3,1ab79445f22e0ead,4291111f6dd26015,87f1f5a
amlworld,temporal,xgb,base_gfp,test_pr_auc,0.5210224445987546,0.5210224445987546,0.5210224445987546,seed_t,3,1ab79445f22e0ead,4291111f6dd26015,87f1f5a
amlworld,temporal,xgb,base_gfp,test_roc_auc,0.9830625601946933,0.9830625601946933,0.9830625601946933,seed_t,3,1ab79445f22e0ead,4291111f6dd26015,87f1f5a
amlworld,temporal,xgb,base_gfp,test_p_at_r50,0.57001414427157,0.57001414427157,0.57001414427157,seed_t,3,1ab79445f22e0ead,4291111f6dd26015,87f1f5a
amlworld,temporal,xgb,base_gfp,test_p_at_r80,0.0989711302211302,0.09897113022113016,0.09897113022113024,seed_t,3,1ab79445f22e0ead,4291111f6dd26015,87f1f5a
