dataset,regime,model,features,metric,seed_mean,ci_low,ci_high,ci_kind,n_seeds,feature_version,split_hash,commit
amlworld,temporal,xgb,base,test_f1,0.20886906323799528,0.20886906323799528,0.20886906323799528,seed_t,3,none,4291111f6dd26015,7c22e3e-dirty
amlworld,temporal,xgb,base,test_pr_auc,0.10875374747550065,0.10875374747550065,0.10875374747550065,seed_t,3,none,4291111f6dd26015,7c22e3e-dirty
amlworld,temporal,xgb,base,test_roc_auc,0.9380247478371051,0.9380247478371051,0.9380247478371051,seed_t,3,none,4291111f6dd26015,7c22e3e-dirty
amlworld,temporal,xgb,base,test_p_at_r50,0.08980636545737815,0.08980636545737815,0.08980636545737815,seed_t,3,none,4291111f6dd26015,7c22e3e-dirty
amlworld,temporal,xgb,base,test_p_at_r80,0.03362637935982052,0.03362637935982052,0.03362637935982052,seed_t,3,none,4291111f6dd26015,7c22e3e-dirty
amlworld,temporal,xgb,base_gfp,test_f1,0.5394508168230796,0.5394508168230796,0.5394508168230796,seed_t,3,1ab79445f22e0ead,4291111f6dd26015,7c22e3e-dirty
amlworld,temporal,xgb,base_gfp,test_pr_auc,0.5210224445987546,0.5210224445987546,0.5210224445987546,seed_t,3,1ab79445f22e0ead,4291111f6dd26015,7c22e3e-dirty
amlworld,temporal,xgb,base_gfp,test_roc_auc,0.9830625601946933,0.9830625601946933,0.9830625601946933,seed_t,3,1ab79445f22e0ead,4291111f6dd26015,7c22e3e-dirty
amlworld,temporal,xgb,base_gfp,test_p_at_r50,0.57001414427157,0.57001414427157,0.57001414427157,seed_t,3,1ab79445f22e0ead,4291111f6dd26015,7c22e3e-dirty
amlworld,temporal,xgb,base_gfp,test_p_at_r80,0.0989711302211302,0.09897113022113016,0.09897113022113024,seed_t,3,1ab79445f22e0ead,4291111f6dd26015,7c22e3e-dirty
