window,n,n_pos,roc_auc,recall,pos_median,probe_roc_auc,model,features,seed
before,6436,659,0.9572547512597047,0.7132018209408194,0.99925297498703,0.9928895376329876,xgb,base_gfp,0
after,6687,169,0.5559751693535062,0.01775147928994083,0.00011865506530739367,0.9846964406589601,xgb,base_gfp,0
before,6436,659,0.9572547512597047,0.7132018209408194,0.99925297498703,0.9928895376329876,xgb,base_gfp,1
after,6687,169,0.5559751693535062,0.01775147928994083,0.00011865506530739367,0.9846964406589601,xgb,base_gfp,1
before,6436,659,0.9572547512597047,0.7132018209408194,0.99925297498703,0.9928895376329876,xgb,base_gfp,2
after,6687,169,0.5559751693535062,0.01775147928994083,0.00011865506530739367,0.9846964406589601,xgb,base_gfp,2
before,6436,659,0.9572547512597047,0.7132018209408194,0.99925297498703,0.9928895376329876,xgb,base_gfp,3
after,6687,169,0.5559751693535062,0.01775147928994083,0.00011865506530739367,0.9846964406589601,xgb,base_gfp,3
before,6436,659,0.9572547512597047,0.7132018209408194,0.99925297498703,0.9928895376329876,xgb,base_gfp,4
after,6687,169,0.5559751693535062,0.01775147928994083,0.00011865506530739367,0.9846964406589601,xgb,base_gfp,4
before,6436,659,0.9292106761074145,0.6251896813353566,0.9353046417236328,0.9928895376329876,sage,base_gfp,0
after,6687,169,0.73629965993126,0.03550295857988166,0.037972915917634964,0.9846964406589601,sage,base_gfp,0
before,6436,659,0.9290299584217987,0.5447647951441578,0.9403626918792725,0.9928895376329876,sage,base_gfp,1
after,6687,169,0.6578223980565426,0.011834319526627219,0.11967149376869202,0.9846964406589601,sage,base_gfp,1
before,6436,659,0.9250029484825888,0.6160849772382397,0.9343200922012329,0.9928895376329876,sage,base_gfp,2
after,6687,169,0.699385043874859,0.01775147928994083,0.06257925182580948,0.9846964406589601,sage,base_gfp,2
before,6436,659,0.9277539024381916,0.5295902883156297,0.9682960510253906,0.9928895376329876,sage,base_gfp,3
after,6687,169,0.642795281523537,0.011834319526627219,0.04581456258893013,0.9846964406589601,sage,base_gfp,3
before,6436,659,0.9223476067908873,0.6100151745068285,0.9765369892120361,0.9928895376329876,sage,base_gfp,4
after,6687,169,0.6822617748574271,0.005917159763313609,0.00130925711710006,0.9846964406589601,sage,base_gfp,4
