detector,first_flag,first_drop,lead,drop_level,ref_f1,model,features,seed
psi,48.0,43.0,-5.0,0.7222765048480664,0.902845631060083,xgb,base_gfp,0
ks,,43.0,,0.7222765048480664,0.902845631060083,xgb,base_gfp,0
conf,,43.0,,0.7222765048480664,0.902845631060083,xgb,base_gfp,0
psi,48.0,43.0,-5.0,0.7222765048480664,0.902845631060083,xgb,base_gfp,1
ks,,43.0,,0.7222765048480664,0.902845631060083,xgb,base_gfp,1
conf,,43.0,,0.7222765048480664,0.902845631060083,xgb,base_gfp,1
psi,48.0,43.0,-5.0,0.7222765048480664,0.902845631060083,xgb,base_gfp,2
ks,,43.0,,0.7222765048480664,0.902845631060083,xgb,base_gfp,2
conf,,43.0,,0.7222765048480664,0.902845631060083,xgb,base_gfp,2
psi,48.0,43.0,-5.0,0.7222765048480664,0.902845631060083,xgb,base_gfp,3
ks,,43.0,,0.7222765048480664,0.902845631060083,xgb,base_gfp,3
conf,,43.0,,0.7222765048480664,0.902845631060083,xgb,base_gfp,3
psi,48.0,43.0,-5.0,0.7222765048480664,0.902845631060083,xgb,base_gfp,4
ks,,43.0,,0.7222765048480664,0.902845631060083,xgb,base_gfp,4
conf,,43.0,,0.7222765048480664,0.902845631060083,xgb,base_gfp,4
psi,48.0,39.0,-9.0,0.5727711901624946,0.7159639877031182,sage,base_gfp,0
ks,,39.0,,0.5727711901624946,0.7159639877031182,sage,base_gfp,0
conf,,39.0,,0.5727711901624946,0.7159639877031182,sage,base_gfp,0
psi,48.0,43.0,-5.0,0.5461991145664615,0.6827488932080769,sage,base_gfp,1
ks,,43.0,,0.5461991145664615,0.6827488932080769,sage,base_gfp,1
conf,,43.0,,0.5461991145664615,0.6827488932080769,sage,base_gfp,1
psi,48.0,39.0,-9.0,0.5790014430014431,0.7237518037518038,sage,base_gfp,2
ks,,39.0,,0.5790014430014431,0.7237518037518038,sage,base_gfp,2
conf,,39.0,,0.5790014430014431,0.7237518037518038,sage,base_gfp,2
psi,48.0,39.0,-9.0,0.5556169756169757,0.6945212195212195,sage,base_gfp,3
ks,,39.0,,0.5556169756169757,0.6945212195212195,sage,base_gfp,3
conf,,39.0,,0.5556169756169757,0.6945212195212195,sage,base_gfp,3
psi,48.0,43.0,-5.0,0.5665110640022671,0.7081388300028338,sage,base_gfp,4
ks,,43.0,,0.5665110640022671,0.7081388300028338,sage,base_gfp,4
conf,,43.0,,0.5665110640022671,0.7081388300028338,sage,base_gfp,4
