time,f1,pr_auc,n,n_pos,regime,model,features,seed
1,0.0,0.8055555555555556,333,3,random,xgb,base,0
2,0.6666666666666666,0.7555555555555555,162,3,random,xgb,base,0
3,1.0,1.0,193,2,random,xgb,base,0
4,0.8,1.0,224,6,random,xgb,base,0
5,0.0,1.0,289,1,random,xgb,base,0
6,0.0,,77,0,random,xgb,base,0
7,0.9565217391304348,0.9924242424242424,189,11,random,xgb,base,0
8,0.8695652173913043,0.8648773326434493,181,13,random,xgb,base,0
9,1.0,1.0,117,34,random,xgb,base,0
10,1.0,1.0,134,1,random,xgb,base,0
11,1.0,1.0,115,18,random,xgb,base,0
12,0.8571428571428571,0.9166666666666665,59,3,random,xgb,base,0
13,1.0,1.0,123,53,random,xgb,base,0
14,1.0,1.0,65,11,random,xgb,base,0
15,1.0,1.0000000000000002,91,22,random,xgb,base,0
16,0.9545454545454546,0.9848484848484849,93,22,random,xgb,base,0
17,0.9696969696969697,1.0,131,16,random,xgb,base,0
18,1.0,0.9999999999999998,52,7,random,xgb,base,0
19,0.9375,0.9837863270308124,119,16,random,xgb,base,0
20,0.961038961038961,0.9993902439024391,136,40,random,xgb,base,0
21,1.0,1.0,89,14,random,xgb,base,0
22,0.96,0.99709620863467,272,26,random,xgb,base,0
23,0.875,0.9861111111111112,165,8,random,xgb,base,0
24,0.9583333333333334,0.984258064516129,176,25,random,xgb,base,0
25,1.0,1.0,90,19,random,xgb,base,0
26,0.9411764705882353,1.0,71,9,random,xgb,base,0
27,1.0,1.0,32,6,random,xgb,base,0
28,1.0,1.0,41,16,random,xgb,base,0
29,0.945054945054945,0.9965324094613692,183,48,random,xgb,base,0
30,0.967741935483871,1.0,82,16,random,xgb,base,0
31,1.0,0.9999999999999998,95,13,random,xgb,base,0
32,0.9876543209876543,1.0,188,41,random,xgb,base,0
33,0.5,0.9166666666666665,76,3,random,xgb,base,0
34,0.9230769230769231,1.0,91,6,random,xgb,base,0
35,0.9393939393939394,0.9897111679900306,197,33,random,xgb,base,0
36,1.0,1.0,260,4,random,xgb,base,0
37,1.0,1.0,71,4,random,xgb,base,0
38,0.8461538461538461,0.9913888888888889,111,15,random,xgb,base,0
39,0.9090909090909091,0.9999999999999999,189,12,random,xgb,base,0
40,0.9090909090909091,0.9107142857142857,164,12,random,xgb,base,0
41,0.9523809523809523,0.9931869717584003,178,21,random,xgb,base,0
42,0.9444444444444444,0.9900528834046838,279,19,random,xgb,base,0
43,0.5714285714285714,0.8242424242424242,186,5,random,xgb,base,0
44,0.0,0.20808080808080806,249,3,random,xgb,base,0
45,0.0,0.5,189,1,random,xgb,base,0
46,1.0,1.0,104,1,random,xgb,base,0
47,0.6666666666666666,0.570350535540409,113,4,random,xgb,base,0
48,0.8888888888888888,1.0,77,5,random,xgb,base,0
49,0.9523809523809523,0.9757575757575758,84,11,random,xgb,base,0
1,0.0,0.8055555555555556,333,3,random,xgb,base,1
2,0.6666666666666666,0.7555555555555555,162,3,random,xgb,base,1
3,1.0,1.0,193,2,random,xgb,base,1
4,0.8,1.0,224,6,random,xgb,base,1
5,0.0,1.0,289,1,random,xgb,base,1
6,0.0,,77,0,random,xgb,base,1
