dataset,regime,model,features,metric,seed_mean,ci_low,ci_high,ci_kind,n_seeds,feature_version,split_hash,commit
elliptic_pp,random,sage,base,test_f1,0.9070717120430128,0.8989035184104938,0.9152399056755319,seed_t,5,none,408c823763f1f17f,afe6ef5
elliptic_pp,random,sage,base,test_pr_auc,0.9528973378121293,0.9477097848431435,0.958084890781115,seed_t,5,none,408c823763f1f17f,afe6ef5
elliptic_pp,random,sage,base,test_roc_auc,0.9884335439577951,0.9876787683558376,0.9891883195597527,seed_t,5,none,408c823763f1f17f,afe6ef5
elliptic_pp,random,sage,base,test_p_at_r50,0.9941724763577984,0.9916276390148447,0.996717313700752,seed_t,5,none,408c823763f1f17f,afe6ef5
elliptic_pp,random,sage,base,test_p_at_r80,0.9859313664320067,0.9804518179897274,0.9914109148742861,seed_t,5,none,408c823763f1f17f,afe6ef5
elliptic_pp,random,sage,base_gfp,test_f1,0.8995273538053234,0.890074670434196,0.9089800371764509,seed_t,5,d6e912c8fcb83f3b,408c823763f1f17f,afe6ef5
elliptic_pp,random,sage,base_gfp,test_pr_auc,0.9483887122360366,0.9446974948143558,0.9520799296577174,seed_t,5,d6e912c8fcb83f3b,408c823763f1f17f,afe6ef5
elliptic_pp,random,sage,base_gfp,test_roc_auc,0.9875999791562272,0.9868728816823296,0.9883270766301249,seed_t,5,d6e912c8fcb83f3b,408c823763f1f17f,afe6ef5
elliptic_pp,random,sage,base_gfp,test_p_at_r50,0.9941792663909418,0.9897585489951539,0.9985999837867297,seed_t,5,d6e912c8fcb83f3b,408c823763f1f17f,afe6ef5
elliptic_pp,random,sage,base_gfp,test_p_at_r80,0.9781632646521115,0.972159203007882,0.984167326296341,seed_t,5,d6e912c8fcb83f3b,408c823763f1f17f,afe6ef5
elliptic_pp,random,xgb,base,test_f1,0.9500756429652043,0.9500756429652042,0.9500756429652044,seed_t,5,none,408c823763f1f17f,afe6ef5
elliptic_pp,random,xgb,base,test_pr_auc,0.9873041423044565,0.9873041423044565,0.9873041423044565,seed_t,5,none,408c823763f1f17f,afe6ef5
