time,f1,pr_auc,n,n_pos,regime,model,features,seed
38,0.9223300970873787,0.9644182373415753,756,111,temporal,xgb,base,0
39,0.8827586206896552,0.9486419235370729,1183,81,temporal,xgb,base,0
40,0.6956521739130435,0.7415094609722277,1211,112,temporal,xgb,base,0
41,0.9327354260089686,0.962061961842543,1132,116,temporal,xgb,base,0
42,0.8201438848920863,0.879240927239869,2154,239,temporal,xgb,base,0
43,0.0,0.026873648799676988,1370,24,temporal,xgb,base,0
44,0.05405405405405406,0.06015733642355732,1591,24,temporal,xgb,base,0
45,0.0,0.01822104129674639,1221,5,temporal,xgb,base,0
46,0.16666666666666666,0.5070422535211268,712,2,temporal,xgb,base,0
47,0.0,0.03832733705574253,846,22,temporal,xgb,base,0
48,0.0,0.12852868916941831,471,36,temporal,xgb,base,0
49,0.0,0.22875152624571563,476,56,temporal,xgb,base,0
38,0.9223300970873787,0.9644182373415753,756,111,temporal,xgb,base,1
39,0.8827586206896552,0.9486419235370729,1183,81,temporal,xgb,base,1
40,0.6956521739130435,0.7415094609722277,1211,112,temporal,xgb,base,1
41,0.9327354260089686,0.962061961842543,1132,116,temporal,xgb,base,1
42,0.8201438848920863,0.879240927239869,2154,239,temporal,xgb,base,1
43,0.0,0.026873648799676988,1370,24,temporal,xgb,base,1
44,0.05405405405405406,0.06015733642355732,1591,24,temporal,xgb,base,1
45,0.0,0.01822104129674639,1221,5,temporal,xgb,base,1
46,0.16666666666666666,0.5070422535211268,712,2,temporal,xgb,base,1
47,0.0,0.03832733705574253,846,22,temporal,xgb,base,1
48,0.0,0.12852868916941831,471,36,temporal,xgb,base,1
49,0.0,0.22875152624571563,476,56,temporal,xgb,base,1
38,0.9223300970873787,0.9644182373415753,756,111,temporal,xgb,base,2
39,0.8827586206896552,0.9486419235370729,1183,81,temporal,xgb,base,2
40,0.6956521739130435,0.7415094609722277,1211,112,temporal,xgb,base,2
41,0.9327354260089686,0.962061961842543,1132,116,temporal,xgb,base,2
42,0.8201438848920863,0.879240927239869,2154,239,temporal,xgb,base,2
43,0.0,0.026873648799676988,1370,24,temporal,xgb,base,2
44,0.05405405405405406,0.06015733642355732,1591,24,temporal,xgb,base,2
45,0.0,0.01822104129674639,1221,5,temporal,xgb,base,2
46,0.16666666666666666,0.5070422535211268,712,2,temporal,xgb,base,2
47,0.0,0.03832733705574253,846,22,temporal,xgb,base,2
48,0.0,0.12852868916941831,471,36,temporal,xgb,base,2
49,0.0,0.22875152624571563,476,56,temporal,xgb,base,2
38,0.9223300970873787,0.9644182373415753,756,111,temporal,xgb,base,3
39,0.8827586206896552,0.9486419235370729,1183,81,temporal,xgb,base,3
40,0.6956521739130435,0.7415094609722277,1211,112,temporal,xgb,base,3
41,0.9327354260089686,0.962061961842543,1132,116,temporal,xgb,base,3
42,0.8201438848920863,0.879240927239869,2154,239,temporal,xgb,base,3
43,0.0,0.026873648799676988,1370,24,temporal,xgb,base,3
44,0.05405405405405406,0.06015733642355732,1591,24,temporal,xgb,base,3
45,0.0,0.01822104129674639,1221,5,temporal,xgb,base,3
46,0.16666666666666666,0.5070422535211268,712,2,temporal,xgb,base,3
47,0.0,0.03832733705574253,846,22,temporal,xgb,base,3
48,0.0,0.12852868916941831,471,36,temporal,xgb,base,3
49,0.0,0.22875152624571563,476,56,temporal,xgb,base,3
38,0.9223300970873787,0.9644182373415753,756,111,temporal,xgb,base,4
39,0.8827586206896552,0.9486419235370729,1183,81,temporal,xgb,base,4
40,0.6956521739130435,0.7415094609722277,1211,112,temporal,xgb,base,4
41,0.9327354260089686,0.962061961842543,1132,116,temporal,xgb,base,4
42,0.8201438848920863,0.879240927239869,2154,239,temporal,xgb,base,4
43,0.0,0.026873648799676988,1370,24,temporal,xgb,base,4
44,0.05405405405405406,0.06015733642355732,1591,24,temporal,xgb,base,4
45,0.0,0.01822104129674639,1221,5,temporal,xgb,base,4
46,0.16666666666666666,0.5070422535211268,712,2,temporal,xgb,base,4
47,0.0,0.03832733705574253,846,22,temporal,xgb,base,4
48,0.0,0.12852868916941831,471,36,temporal,xgb,base,4
49,0.0,0.22875152624571563,476,56,temporal,xgb,base,4
38,0.9117647058823529,0.9573526464857718,756,111,temporal,xgb,base_gfp,0
39,0.8591549295774648,0.9419886983775043,1183,81,temporal,xgb,base_gfp,0
40,0.6745562130177515,0.7404852136848538,1211,112,temporal,xgb,base_gfp,0
41,0.9014084507042254,0.9505818745361571,1132,116,temporal,xgb,base_gfp,0
42,0.8029556650246306,0.8704932753715025,2154,239,temporal,xgb,base_gfp,0
43,0.0,0.021710984634709773,1370,24,temporal,xgb,base_gfp,0
44,0.06896551724137931,0.07788579653877692,1591,24,temporal,xgb,base_gfp,0
45,0.0,0.024355266922437342,1221,5,temporal,xgb,base_gfp,0
46,0.4,0.25662251655629137,712,2,temporal,xgb,base_gfp,0
47,0.0,0.029706075927019782,846,22,temporal,xgb,base_gfp,0
48,0.0,0.08325924370278584,471,36,temporal,xgb,base_gfp,0
49,0.03508771929824561,0.14020357858066365,476,56,temporal,xgb,base_gfp,0
38,0.9117647058823529,0.9573526464857718,756,111,temporal,xgb,base_gfp,1
39,0.8591549295774648,0.9419886983775043,1183,81,temporal,xgb,base_gfp,1
40,0.6745562130177515,0.7404852136848538,1211,112,temporal,xgb,base_gfp,1
41,0.9014084507042254,0.9505818745361571,1132,116,temporal,xgb,base_gfp,1
42,0.8029556650246306,0.8704932753715025,2154,239,temporal,xgb,base_gfp,1
43,0.0,0.021710984634709773,1370,24,temporal,xgb,base_gfp,1
44,0.06896551724137931,0.07788579653877692,1591,24,temporal,xgb,base_gfp,1
